borneoArea,borneoStream,borneoX,borneoY,mekongArea,mekongStream,mekongX,mekongY,johoreArea,johoreStream,johoreX,johoreY,siamArea,siamStream,siamX,siamY,singapArea,singapStream,singapX,singapY,sundaArea,sundaStream,sundaX,sundaY
2114526725138.792,3652290.476575567,296614.4579114368,594927.3792985524,2114526725138.792,3652290.476575567,296614.4579114368,594927.3792985524,2114526725138.792,3652290.476575567,296614.4579114368,594927.3792985524,2114526725138.792,3652290.476575567,296614.4579114368,594927.3792985524,260211115153.51712,1207322.5833553954,-981510.1381314045,646375.738526168,783693806117.0625,1702426.6923810947,1087691.4171598293,-669765.9329720016
2114142330954.049,3635957.8772393507,296499.56621996855,578600.5597164559,2114142330954.049,3635957.8772393507,296499.56621996855,578600.5597164559,2114142330954.049,3635957.8772393507,296499.56621996855,578600.5597164559,2114142330954.049,3635957.8772393507,296499.56621996855,578600.5597164559,260212379263.96735,1207322.5833553954,-981510.1381314045,646375.738526168,783118096554.0825,1696354.867568144,1081663.309601349,-669038.6257311769
2113608951262.209,3623257.6540622027,305212.7361684348,569754.2396093016,2113608951262.209,3623257.6540622027,305212.7361684348,569754.2396093016,2113608951262.209,3623257.6540622027,305212.7361684348,569754.2396093016,2113608951262.209,3623257.6540622027,305212.7361684348,569754.2396093016,260124084640.10205,1207322.5833553954,-981510.1381314045,646375.738526168,783208374048.108,1696354.867568144,1081663.309601349,-669038.6257311769
2114003583025.3662,3623257.6540622027,305212.7361684348,569754.2396093016,2114003583025.3662,3623257.6540622027,305212.7361684348,569754.2396093016,2114003583025.3662,3623257.6540622027,305212.7361684348,569754.2396093016,2114003583025.3662,3623257.6540622027,305212.7361684348,569754.2396093016,259956337002.4218,1207322.5833553954,-981510.1381314045,646375.738526168,783256346301.993,1696354.867568144,1081663.309601349,-669038.6257311769
2113552289359.0637,3623257.6540622027,305212.7361684348,569754.2396093016,2113552289359.0637,3623257.6540622027,305212.7361684348,569754.2396093016,2113552289359.0637,3623257.6540622027,305212.7361684348,569754.2396093016,2113552289359.0637,3623257.6540622027,305212.7361684348,569754.2396093016,260541536345.50848,1207322.5833553954,-981510.1381314045,646375.738526168,783385762756.7662,1696354.867568144,1081663.309601349,-669038.6257311769
2113863846615.4539,3635957.8772393507,296499.56621996855,578600.5597164559,2113863846615.4539,3635957.8772393507,296499.56621996855,578600.5597164559,2113863846615.4539,3635957.8772393507,296499.56621996855,578600.5597164559,2113863846615.4539,3635957.8772393507,296499.56621996855,578600.5597164559,260383362252.02197,1207322.5833553954,-981510.1381314045,646375.738526168,783348751827.0459,1696354.867568144,1081663.309601349,-669038.6257311769
2114330729159.8113,3669599.133358126,302963.2985902031,608550.1666825355,2114330729159.8113,3669599.133358126,302963.2985902031,608550.1666825355,2114330729159.8113,3669599.133358126,302963.2985902031,608550.1666825355,2114330729159.8113,3669599.133358126,302963.2985902031,608550.1666825355,260566171635.99854,1207322.5833553954,-981510.1381314045,646375.738526168,783018244618.7748,1702426.6923810947,1087691.4171598293,-669765.9329720016
2114577803137.5164,3696992.0183772114,305175.33128352906,625446.9088571804,2114577803137.5164,3696992.0183772114,305175.33128352906,625446.9088571804,2114577803137.5164,3696992.0183772114,305175.33128352906,625446.9088571804,2114577803137.5164,3696992.0183772114,305175.33128352906,625446.9088571804,264721453845.42224,1236143.1849579944,-1007932.3384652892,645722.0080104083,784347205749.43,1740010.9660428455,1108137.2806635564,-676506.6254210464
2115687896642.6787,3715356.1307862145,306861.096273344,640852.2138033299,2115687896642.6787,3715356.1307862145,306861.096273344,640852.2138033299,2115687896642.6787,3715356.1307862145,306861.096273344,640852.2138033299,2115687896642.6787,3715356.1307862145,306861.096273344,640852.2138033299,265089148454.39157,1236143.1849579944,-1007932.3384652892,645722.0080104083,784304834325.4272,1740010.9660428455,1108137.2806635564,-676506.6254210464
2124449594764.664,3733780.4051517784,316900.7101988432,653950.6731922138,2124449594764.664,3733780.4051517784,316900.7101988432,653950.6731922138,2124449594764.664,3733780.4051517784,316900.7101988432,653950.6731922138,2124449594764.664,3733780.4051517784,316900.7101988432,653950.6731922138,264939526431.44437,1236143.1849579944,-1007932.3384652892,645722.0080104083,784087892457.4313,1745302.99275216,1108137.2806635564,-676506.6254210464
